year,cd_temp,gd_temp
1855,7.40,8.11
1856,7.81,8.00
1857,7.66,7.76
1858,8.02,8.10
1859,8.70,8.25
1860,8.41,7.96
1861,8.05,7.85
1862,7.96,7.56
1863,8.27,8.11
1864,8.05,7.98
1865,8.29,8.18
1866,8.36,8.29
1867,8.42,8.44
1868,8.38,8.25
1869,8.42,8.43
1870,8.21,8.20
1871,8.25,8.12
1872,8.20,8.19
1873,8.89,8.35
1874,8.10,8.43
1875,7.82,7.86
1876,8.50,8.08
1877,9.01,8.54
1878,8.75,8.83
1879,8.22,8.17
1880,8.27,8.12
1881,8.46,8.27
1882,8.20,8.13
1883,8.20,7.98
1884,8.04,7.77
1885,8.03,7.92
1886,7.95,7.95
1887,8.40,7.91
1888,8.44,8.09
1889,8.21,8.32
1890,8.04,7.97
1891,8.18,8.02
1892,8.04,8.07
1893,8.00,8.06
1894,8.25,8.16
1895,8.56,8.15
1896,8.89,8.21
1897,8.58,8.29
1898,8.17,8.18
1899,8.38,8.40
1900,8.97,8.50
1901,8.71,8.54
1902,8.72,8.30
1903,8.20,8.22
1904,8.69,8.09
1905,9.05,8.23
1906,8.54,8.38
1907,8.29,7.95
1908,8.05,8.19
1909,8.25,8.18
1910,8.10,8.22
1911,8.51,8.18
1912,8.89,8.17
1913,8.90,8.30
1914,8.96,8.59
1915,9.44,8.59
1916,8.18,8.23
1917,7.85,8.02
1918,8.34,8.13
1919,8.94,8.38
1920,8.57,8.36
1921,8.37,8.57
1922,8.29,8.41
1923,8.35,8.42
1924,8.54,8.51
1925,8.67,8.53
1926,9.31,8.73
1927,8.80,8.52
1928,8.99,8.63
1929,8.66,8.24
1930,8.69,8.63
1931,9.05,8.72
1932,8.64,8.71
1933,8.63,8.34
1934,8.40,8.63
1935,8.80,8.52
1936,9.08,8.55
1937,9.09,8.70
1938,8.76,8.86
1939,8.85,8.76
1940,9.28,8.76
1941,9.56,8.77
1942,8.85,8.73
1943,8.88,8.76
1944,8.71,8.85
1945,9.23,8.58
1946,8.57,8.68
1947,8.91,8.80
1948,8.67,8.75
1949,8.60,8.59
1950,8.52,8.37
1951,8.72,8.63
1952,9.07,8.64
1953,9.23,8.87
1954,8.75,8.56
1955,8.30,8.63
1956,8.45,8.28
1957,8.96,8.73
1958,9.57,8.77
1959,9.11,8.73
1960,8.77,8.58
1961,8.89,8.80
1962,8.29,8.75
1963,8.79,8.86
1964,8.85,8.41
1965,9.14,8.53
1966,9.25,8.60
1967,9.12,8.70
1968,8.81,8.52
1969,9.78,8.60
1970,9.33,8.70
1971,8.74,8.60
1972,9.19,8.50
1973,9.43,8.95
1974,8.62,8.47
1975,8.96,8.74
1976,8.73,8.35
1977,8.99,8.85
1978,8.84,8.69
1979,8.82,8.73
1980,8.99,8.98
1981,8.82,9.17
1982,9.17,8.64
1983,10.31,9.03
1984,9.08,8.69
1985,9.32,8.66
1986,8.97,8.83
1987,10.00,8.99
1988,9.43,9.20
1989,8.94,8.92
1990,9.24,9.23
1991,9.45,9.18
1992,9.47,8.84
1993,9.36,8.87
1994,9.59,9.04
1995,9.52,9.35
1996,8.94,9.04
1997,9.26,9.20
1998,9.83,9.52
1999,8.67,9.29
2000,8.93,9.20
2001,9.00,9.41
2002,9.29,9.57
2003,8.97,9.53
2004,9.41,9.32
2005,8.90,9.70
2006,9.19,9.53
2007,9.08,9.73
2008,8.85,9.43
2009,9.29,9.51
2010,9.60,9.70
2011,9.28,9.52
2012,9.26,9.51
2013,8.64,9.61
